Date,Temperature,Humidity,Description
2024-07-01 02:00:00,29.28,67,overcast clouds
2024-07-01 05:00:00,28.74,73,overcast clouds
2024-07-01 08:00:00,30.29,69,overcast clouds
2024-07-01 11:00:00,34.46,56,broken clouds
2024-07-01 14:00:00,32.02,66,light rain
2024-07-01 17:00:00,29.95,79,moderate rain
2024-07-01 20:00:00,28.99,84,light rain
2024-07-01 23:00:00,28.02,87,light rain
2024-07-02 02:00:00,27.55,88,light rain
2024-07-02 05:00:00,27.2,88,light rain
2024-07-02 08:00:00,30.47,74,light rain
2024-07-02 11:00:00,34.18,58,light rain
2024-07-02 14:00:00,33.09,63,light rain
2024-07-02 17:00:00,31.31,73,light rain
2024-07-02 20:00:00,29.17,85,light rain
2024-07-02 23:00:00,28.56,87,light rain
2024-07-03 02:00:00,27.59,89,light rain
2024-07-03 05:00:00,27.07,88,light rain
2024-07-03 08:00:00,30.43,74,clear sky
2024-07-03 11:00:00,34.42,58,few clouds
2024-07-03 14:00:00,34.38,60,light rain
2024-07-03 17:00:00,32.06,69,light rain
2024-07-03 20:00:00,29.74,80,light rain
2024-07-03 23:00:00,29.09,84,light rain
2024-07-04 02:00:00,28.47,87,broken clouds
2024-07-04 05:00:00,27.82,89,scattered clouds
2024-07-04 08:00:00,31.1,74,scattered clouds
2024-07-04 11:00:00,35.08,56,few clouds
2024-07-04 14:00:00,32.78,64,light rain
2024-07-04 17:00:00,30.85,71,light rain
2024-07-04 20:00:00,29.99,76,overcast clouds
2024-07-04 23:00:00,28.84,83,clear sky
2024-07-05 02:00:00,28.19,86,clear sky
2024-07-05 05:00:00,27.71,86,light rain
2024-07-05 08:00:00,30.98,72,clear sky
2024-07-05 11:00:00,34.76,55,few clouds
2024-07-05 14:00:00,34.59,57,scattered clouds
2024-07-05 17:00:00,31.27,71,light rain
2024-07-05 20:00:00,29.8,78,light rain
2024-07-05 23:00:00,28.34,83,scattered clouds
